"newala_chilangala_namangadu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4628,0.4283,0.3965,0.3669,0.3396,0.3143,0.2909,0.2693,0.2492,0.2307,0.2135,0.1976,0.1829,0.1693,0.1567,0.145,0.1342,0.1242,0.115,0.1064,0.0985,0.0912,0.0844,0.0781,0.0723,0.0669,0.0619,0.0573,0.0531,0.0491,0.0455,0.0421,0.0389,0.036,0.0334,0.0309,0.0286,0.0264,0.0245,0.0227,0.021,0.0194,0.018,0.0166,0.0154,0.0142,0.0132,0.0122,0.0113,0.0105,0.0097,0.009,0.0083,0.0066,0.0061,0.0056,0.0052,0.0048,0.0045,0.0041,0.0038,0.0035,0.0033
"liwale_mihumo_mihumo",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4091,0.3786,0.3505,0.3244,0.3002,0.2779,0.2572,0.238,0.2203,0.2039,0.1887,0.1747,0.1617,0.1497,0.1385,0.1282,0.4091,0.3786,0.3505,0.3244,0.3002,0.2779,0.2572,0.238,0.2203,0.2039,0.1887,0.1747,0.1547,0.1432,0.1325,0.1226,0.1135,0.1051,0.0972,0.09,0.0833,0.0771,0.0714,0.066,0.0611,0.2609,0.2415,0.2235,0.2068,0.1914,0.1772,0.164,0.1518,0.1405,0.13,0.1204,0.1114,0.1031,0.0954,0.6667,0.617,0.5711,0.5286,0.4893,0.4528,0.4191,0.3879,0.3591,0.3323,0.3076,0.2847,0.2635,0.2439,0.3333,0.3085,0.2856,0.2643,0.2446,0.2264,0.2096,0.194,0.1795,0.1662,0.1538,0.1423,0.1318,0.1219
"ruangwa_likunja_mpara",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2963,0.2742,0.2538,0.2349,0.2097,0.1941,0.1796,0.1663,0.1539,0.1424,0.1318,0.122,0.1129,0.1045,0.0967,0.0895,0.6429,0.595,0.5507,0.5097,0.4718,0.4367,0.4042,0.3741,0.3462,0.3205,0.2966,0.2745,0.2541,0.2352,0.2177,0.2015,0.1865,0.1726,0.1597,0.1479,0.1369,0.1267,0.1172,0.1085,0.3929,0.3511,0.3141,0.2814,0.2446,0.2198,0.1976,0.1778,0.1559,0.1406,0.1238,0.1118,0.0988,0.0894,0.0792,0.551,0.51,0.472,0.4369,0.4044,0.3743,0.3464,0.3206,0.2968,0.2747,0.2542,0.2353,0.2178,0.2016,0.4783,0.4427,0.4097,0.3792,0.351,0.3249,0.3007,0.2783,0.2576,0.2384,0.2207,0.2042,0.189,0.175
"kinondoni_magomeni_idrisa",0,0,0,0,0,0,0.4,0.3702,0.3427,0.3172,0.2936,0.2717,0.2515,0.2328,0.2154,0.1994,0.1846,0.1708,0.1581,0.1463,0.6,0.5553,0.514,0.4757,0.4403,0.4076,0.3772,0.3491,0.3231,0.2991,0.2768,0.2135,0.1976,0.1829,0.1693,0.1567,0.145,0.1342,0.1242,0.115,0.1064,0.0985,0.0912,0.0844,0.0781,0.0723,0.0669,0.0619,0.0573,0.0531,0.0491,0.0455,0.0421,0.0389,0.036,0.0334,0.0309,0.0286,0.0264,0.0245,0.0227,0.021,0.0194,0.018,0.0166,0.0154,0.0142,0.0132,0.0122,0.0113,0.0105,0.0097,0.009,0.0071,0.0066,0.0061,0.0056,0.0052,0.0048,0.0045,0.0041,0.0038,0.0035,0.0033,0.003,0.0028,0.0026,0.0024,0.0022,0.0021,0.0019,0.0018,0.0016,0.0015,0.0014,0.0013
"temeke_temeke_matumbi",0,0,0,0.4151,0.3842,0.349,0.3172,0.2936,0.2717,0.2515,0.2286,0.2116,0.1958,0.1813,0.1678,0.1553,0.1437,0.133,0.1231,0.114,0.1055,0.0976,0.0888,0.0822,0.076,0.0704,0.064,0.0593,0.0539,0.0499,0.0462,0.0428,0.0396,0.0366,0.0333,0.0309,0.0286,0.0264,0.0245,0.0226,0.021,0.0194,0.018,0.0166,0.0154,0.014,0.0128,0.0114,0.0104,0.0096,0.0089,0.0083,0.0076,0.0069,0.0064,0.0059,0.0054,0.005,0.0045,0.0042,0.0039,0.7101,0.6573,0.6084,0.5631,0.5212,0.4755,0.4339,0.4016,0.3717,0.344,0.314,0.2906,0.269,0.249,0.2304,0.2075,0.1921,0.1778,0.1624,0.1503,0.1391,0.127,0.3553,0.3245,0.3004,0.278,0.2573,0.2351,0.2176,0.2014,0.1841,0.1682,0.1519,0.1406,0.1301
"tandahimba_kwanyama_kwanyama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mtwaraurban_chuno_ligulac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8143,0.7537,0.6976,0.6456,0.5976,0.5531,0.5119,0.4738,0.4386,0.4059,0.3757,0.3477,0.3219,0.2979,0.2757,0.6379,0.5904,0.5465,0.5058,0.4682,0.4333,0.4011,0.3712,0.3436,0.318,0.2943,0.2724,0.2521,0.2334,0.216,0.1999,0.185,0.1713,0.1585,0.1467,0.1358,0.1257,0.1163,0.1077,0.0997,0.0922,0.0854,0.4468,0.4136,0.3828,0.3543,0.3279,0.3035,0.2809,0.26,0.2406,0.2227,0.2062,0.1908,0.1766,0.6744,0.6242,0.5778,0.5347,0.4949,0.4581,0.424,0.3924,0.3632,0.3362,0.3112,0.288,0.2666,0.675,0.6248,0.5783,0.5352,0.4954,0.4585,0.4244,0.3928,0.3635,0.3365,0.3114,0.2883,0.2668,0.2469
"kisarawe_kurui_kurui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4545,0.4207,0.3894,0.3604,0.3336,0.3088,0.2858,0.2645,0.2448,0.2266,0.2097,0.1941,0.1797,0.1663,0.1539,0.1425,0.4091,0.3786,0.3505,0.3244,0.3002,0.2779,0.2572,0.238,0.2203,0.2039,0.1887,0.1747,0.1617,0.1497,0.1385,0.1282,0.6818,0.5785,0.4942,0.4101,0.3551,0.2997,0.2482,0.2129,0.1795,0.1526,0.1282,0.1086,0.0926,0.0784,0.5974,0.5529,0.5118,0.4737,0.4384,0.4058,0.3756,0.3476,0.3218,0.2978,0.2756,0.2551,0.2361,0.2157,0.1997,0.1848,0.1711,0.1583,0.1465,0.1356,0.1255,0.1162,0.7564,0.7001,0.648,0.5998,0.5551,0.5138,0.4756,0.4402,0.4074,0.3771,0.349,0.323,0.299,0.2767
"lindiurban_mbanja_mbanja",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5294,0.49,0.4535,0.4198,0.3669,0.3396,0.2978,0.2756,0.2551,0.2243,0.2076,0.1922,0.1779,0.1646,0.1524,0.141,0.8,0.7405,0.6527,0.6041,0.5591,0.5175,0.4572,0.4232,0.3917,0.3625,0.3356,0.3106,0.2875,0.2661,0.2463,0.218,0.2018,0.1868,0.1729,0.16,0.1481,0.1371,0.1269,0.1174,0.3913,0.3471,0.2965,0.2643,0.2359,0.2183,0.1886,0.1746,0.1564,0.1402,0.1298,0.1165,0.1046,0.0941,0.0847,0.359,0.3323,0.3075,0.2846,0.2634,0.2438,0.22,0.2037,0.1885,0.1745,0.1575,0.1458,0.1318,0.1219,0.3571,0.3229,0.292,0.2703,0.2446,0.2264,0.2096,0.194,0.1756,0.1626,0.1505,0.1393,0.1289,0.1193
"rufiji_mgomba_mgombakusini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1026,0.0949,0.0879,0.0813,0.0753,0.0697,0.0645,0.0597,0.0552,0.0511,0.0473,0.0438,0.0405,0.0375,0.0347,0.2821,0.2611,0.2416,0.218,0.2018,0.1868,0.1729,0.16,0.1481,0.1371,0.1269,0.1174,0.1087,0.1006,0.0931,0.0862,0.0798,0.0738,0.0683,0.0632,0.0585,0.0542,0.0502,0.0464,0.043,0.0398,0.0368,0.0341,0.0315,0.0292,0.027,0.025,0.4,0.3702,0.3427,0.3172,0.2936,0.2717,0.2515,0.2328,0.2154,0.1994,0.1846,0.1708,0.1581,0.1428,0.1321,0.1223,0.1132,0.1048,0.097,0.0898,0.0831,0.4878,0.4515,0.4179,0.3868,0.358,0.3313,0.3067,0.2839,0.2627,0.2432,0.2251,0.2083,0.1928,0.1785
