Region,District,vvrid,vvid,round,N_vvid,Dist_Area,Area_kmsq,Population,dist_km,vdogs,v_mean_date,v_mean_date,season_with_NA,season,Correct_District,CategoryVax,Category,nocollars,collars,tdogs,dog_vill_est,Pop2012,HH_Livestk_Keepers,Gr,TotalHH,Vaccines_vials,Cost,Nvaccinators
Coast,mkuranga,mkuranga_kisiju_koma_3,mkuranga_kisiju_koma,3,116,2825.378544,5.806370858,721,57.247,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,16,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kisiju_kwale_3,mkuranga_kisiju_kwale,3,116,2825.378544,6.339592301,488,42.849,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,11,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kitomondo_mitaranda_3,mkuranga_kitomondo_mitaranda,3,116,2825.378544,11.63914467,1135,19.474,3,18/11/2013,18-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,26,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mbezi_mihekela_3,mkuranga_mbezi_mihekela,3,116,2825.378544,13.90987299,671,14.804,2,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,15,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mbezi_mponga_3,mkuranga_mbezi_mponga,3,116,2825.378544,12.93057961,681,15.053,2,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,15,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mkamba_lupondo_3,mkuranga_mkamba_lupondo,3,116,2825.378544,23.1770206,2070,39.261,14,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,47,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mkamba_vianzi_3,mkuranga_mkamba_vianzi,3,116,2825.378544,58.17512529,2040,49.166,18,16/11/2013,16-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,194,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mkuranga_dundani_3,mkuranga_mkuranga_dundani,3,116,2825.378544,20.24042983,2835,4.581,12,13/11/2013,13-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,62,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mkuranga_tengelea_3,mkuranga_mkuranga_tengelea,3,116,2825.378544,20.94400566,2847,5.642,26,14/11/2013,14-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,57,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_njianne_nyamihimbo_3,mkuranga_njianne_nyamihimbo,3,116,2825.378544,27.05201852,605,32.934,6,16/11/2013,16-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,14,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_njianne_sangasanga_3,mkuranga_njianne_sangasanga,3,116,2825.378544,20.59275226,582,31.102,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,13,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_nyamato_kilamba_3,mkuranga_nyamato_kilamba,3,116,2825.378544,27.67777735,1021,45.123,8,14/11/2013,14-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,23,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_nyamato_mvuleni_3,mkuranga_nyamato_mvuleni,3,116,2825.378544,23.68702449,2245,40.497,11,13/11/2013,13-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,51,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_tambani_tambani_3,mkuranga_tambani_tambani,3,116,2825.378544,7.218463513,2050,12.17,34,14/11/2013,14-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,81,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_vianzi_marogoro_3,mkuranga_vianzi_marogoro,3,116,2825.378544,13.08942904,1066,21.232,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,71,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_vianzi_mfurumwambao_3,mkuranga_vianzi_mfurumwambao,3,116,2825.378544,34.02203843,1584,21.508,26,16/11/2013,16-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,36,222921,17610,2,51101,300,9803700,55
Mtwara,mtwararural,mtwararural_kiromba_mikumbi_3,mtwararural_kiromba_mikumbi,3,156,3629.498196,11.33246817,671,57.051,0,21/06/2014,21-Jun,dry,dry,Mtwara Rural,Rural,rural,0,0,0,5,228003,21651,1,58602,130,8165500,58
