Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Kaskazini Pemba,Micheweni,Kifundi,Adeni,NA,20/12/2014,20-Dec-14,2,0,Adeni,Kifundi,Micheweni,Pemba
Morogoro,Morogoro urban,Mazimbu,Airport,NA,07/11/2016,07-Nov-16,10,6,Airport,Mazimbu,Morogoro Urban,Morogoro
Dar Es Salaam,Kinondoni,Mikocheni,All  h mwinyi ,"Marina Mbando, Costantine Makali, Reginald Minja  ",21/11/2016,21-Nov-16,9,5,Ally Hassan Mwinyi,Mikocheni,Kinondoni,Dar-es-salaam
Dar-es-salaam,Ilala,Segerea,Amani,Adam Hussein,18/06/2015,18-Jun-15,82,0,Amani,Segerea,Ilala,Dar-es-salaam
Dar-es-salaam,Ilala,Segerea,Amani,Naomimasalu,10/04/2013,10-Apr-13,111,0,Amani,Segerea,Ilala,Dar-es-salaam
Lindi,Lindi urban,Makonde,Amani,NA,04/11/2016,04-Nov-16,5,6,Amani,Makonde,Lindi Urban,Lindi
Lindi,Lindi urban,Makonde,Makonde,NA,02/11/2016,02-Nov-16,3,2,Amani,Makonde,Lindi Urban,Lindi
Lindi,Lindi urban,Makonde,Amani,NA,08/09/2015,08-Sep-15,2,0,Amani,Makonde,Lindi Urban,Lindi
lindi,Lindi urban,Makonde,Amani na Sheikh Badi,Dativa kyssima,26/06/2012,26-Jun-12,12,0,Amani,Makonde,Lindi Urban,Lindi
Morogoro,Morogoro urban,Mji Mkuu,Mji mkuu,Grace,09/02/2013,09-Feb-13,35,9,Amani,Mji Mkuu,Morogoro Urban,Morogoro
Mtwara,Nanyumbu,Sengenya  ,Amani,NA,08/11/2016,08-Nov-16,1,2,Amani,Sengenya,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Sengenya  ,Amani,NA,28/08/2015,28-Aug-15,1,2,Amani,Sengenya,Nanyumbu,Mtwara
Mtwara,Newala,Mkunya,Amani,NA,01/11/2016,01-Dec-16,0,0,Amani,Mcholi I,Newala,Mtwara
Mtwara,Newala,Mcholi I,AMANI,VALERIAN MKUNDI,05/03/2011,05-Mar-11,1,0,Amani,Mcholi I,Newala,Mtwara
Lindi,Lindi Urban,Makonde,Amani,JAQUECLINE E. SANDY,29/06/2014,29-Jun-14,0,0,Amani,Makonde,Lindi Urban,Lindi
Mtwara,Nanyumbu,Sengenya,Amani,Juma Mnali,17/06/2014,17-Jun-14,27,8,Amani,Sengenya,Nanyumbu,Mtwara
Mtwara,Newala,Mcholi I,Amani,Shinje Ngalula,30/07/2014,30-Jun-14,0,0,Amani,Mcholi I,Newala,Mtwara
Mtwara,Masasi,Namajani,Amani chiroro,James Mhando,22/06/2014,22-Jun-14,6,2,Amani chiroro,Namajani,Masasi,Mtwara
Mtwara,Masasi  ,Namajani,Amani chiroro,NA,11/11/2016,11-Nov-16,56,2,Amani-Chiroro,Namajani,Masasi,Mtwara
Mtwara,Masasi rural,Namajani,Amani Chiroro,Horcea Pawasa,09/09/2015,09-Sep-15,9,3,Amani-Chiroro,Namajani,Masasi,Mtwara
Lindi,Ruangwa,Chibula,Amienje,Rodrick Bora,12/06/2014,12-Jun-14,14,1,Amienje,Chibula,Ruangwa,Lindi
Morogoro,Morogoro rural,Kinole,Amini,Demetria P. Kajeleko,03/11/2016,03-Nov-16,21,1,Amini,Kinole,Morogoro,Morogoro
Morogoro,Morogoro,Kinole,Amini,Muvela,24/02/2013,24-Feb-13,8,0,Amini,Kinole,Morogoro,Morogoro
Morogoro,Morogoro ,NA,Amini,Nathan,18/07/2010,18-Jul-10,60,0,Amini,Kinole,Morogoro,Morogoro
Morogoro,Morogoro Rural,Kinole,Amini,Paul M.,17/12/2014,17-Dec-14,16,13,Amini,Kinole,Morogoro,Morogoro
Lindi,Lindi urban,Wailes,Angaza,NA,04/11/2016,04-Nov-16,22,7,Angaza,Wailes,Lindi Urban,Lindi
Lindi,Lindi urban,Wailes,Angaza,NA,08/09/2015,08-Sep-15,14,2,Angaza,Wailes,Lindi Urban,Lindi
Lindi,Lindi Urban,Wailes,Angaza,EISIEN W. MLIGO,22/06/2014,22-Jun-14,11,3,Angaza,Wailes,Lindi Urban,Lindi
Lindi,Lindi urban,Wailes,Angola,NA,04/11/2016,04-Nov-16,1,3,Angola,Wailes,Lindi Urban,Lindi
Lindi,Lindi urban,Wailes,Angola,NA,08/09/2015,08-Sep-15,2,1,Angola,Wailes,Lindi Urban,Lindi
Kusini Pemba,Mkoani,Mizingani,Angola,NA,06/12/2014,06-Dec-14,2,0,Angola,Mizingani,Mkoani,Pemba
Lindi,Lindi Urban,Wailes,Angola,EISIEN W. MLIGO,24/06/2014,24-Jun-14,1,4,Angola,Wailes,Lindi Urban,Lindi
Morogoro,Morogoro urban,Kichangani,Area Five,NA,06/11/2016,06-Nov-16,88,17,Area Five,Kichangani,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kichangani,Area Six,NA,06/11/2016,06-Nov-16,59,27,Area Six,Kichangani,Morogoro Urban,Morogoro
Mtwara,Mtwara rural,Chawi,Arusha juu,NA,09/11/2016,09-Nov-16,0,0,Arusha,Chawi,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Chawi,Arusha,NA,08/11/2016,08-Nov-16,0,0,Arusha,Chawi,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Chawi,Arusha juu,NA,26/08/2015,26-Aug-15,0,0,Arusha,Chawi,Mtwara Rural,Mtwara
Mtwara,Mtwara rural,Chawi,Arusha,NA,25/08/2015,25-Aug-15,4,3,Arusha,Chawi,Mtwara Rural,Mtwara
mtwara,Mtwara rural,Chawi,Arusha,Mustafa O.Mtemba,01/06/2012,01-Jul-12,3,4,Arusha,Chawi,Mtwara Rural,Mtwara
Mtwara,Mtwara Rural, Chawi  ,Arusha,"Sagatwa A., Senzighe J., Rashidi",23/06/2014,23-Jun-14,4,2,Arusha, Chawi  ,Mtwara Rural,Mtwara
Dar-es-salaam,Kinondoni,MABIBO,AZIMIO,"Constantine Makali, Rose Mayiku, Balthasar Ndomba, Deflis Lumala",20/12/2014,20-Dec-14,1,0,Azimio,Mabibo,Kinondoni,Dar-es-salaam
Morogoro,Morogoro urban,Kiwanja Cha Ndege,Azimio,NA,14/11/2016,14-Nov-16,25,5,Azimio,Kiwanja Cha Ndege,Morogoro Urban,Morogoro
Kusini Pemba,Chakechake,Madungu,B.taka,Ali Nassor,19/09/2016,19-Sep-16,2,0,B.taka,Madungu,Chake Chake,Pemba
Morogoro,Morogoro rural,Mtombozi,Baga,Caroline Kihulla,05/11/2016,05-Nov-16,11,0,Baga,Mtombozi,Morogoro,Morogoro
Morogoro,Morogoro,Mtombozi,Baga,Focus malange,23/02/2013,23-Feb-13,15,0,Baga,Mtombozi,Morogoro,Morogoro
Morogoro,Morogoro Rural,Mtombozi,Baga,Caroline Kihulla,16/12/2014,16-Dec-14,37,2,Baga,Mtombozi,Morogoro,Morogoro
Kaskazini Pemba,Wete,Kizimbani,Baghani,NA,08/12/2014,08-Dec-14,9,4,Baghani,Kizimbani,Wete,Pemba
Morogoro,Morogoro rural,Tegetero,Bagilo,Patroba Maingu,04/11/2016,04-Nov-16,18,2,Bagiro,Tegetero,Morogoro,Morogoro
Morogoro,Morogoro,Tegetero,Bagilo,Chisono,24/02/2013,24-Feb-13,9,0,Bagiro,Tegetero,Morogoro,Morogoro
Morogoro,Morogoro,Tegetero,Bagilo,Chisono,03/02/2013,03-Mar-13,6,1,Bagiro,Tegetero,Morogoro,Morogoro
Morogoro,Morogoro,Tegetero,Bagilo,Chisono,02/02/2013,02-Mar-13,7,2,Bagiro,Tegetero,Morogoro,Morogoro
morogoro,Morogoro rural,Tegetero,Bagilo,Nathan,06/10/2011,06-Oct-11,33,0,Bagiro,Tegetero,Morogoro,Morogoro
Morogoro,Morogoro ,NA,Mabofi,Nathan,12/07/2010,12-Jul-10,7,0,Bagiro,Tegetero,Morogoro,Morogoro
Morogoro,Morogoro Rural,Tegetero,Bagilo,Patroba Maingu,18/12/2014,18-Dec-14,17,0,Bagiro,Tegetero,Morogoro,Morogoro
Kaskazini Pemba,Wete,Piki,Tundwa,NA,13/11/2013,13-Nov-13,11,0,Bahanasa,Piki,Wete,Pemba
Kaskazini Pemba,Micheweni,Finya,Baharini,NA,16/12/2014,16-Dec-14,10,2,Baharini,Finya,Micheweni,Pemba
Mtwara,Newala,Mnyambe,Bahati,NA,10/11/2016,10-Nov-16,5,3,Bahati,Mnyambe,Newala,Mtwara
mtwara,Newala,Mnyambe,Bahati,Mwang'enga,14/09/2012,14-Sep-12,13,0,Bahati,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,BAHATI,VALERIAN MKUNDI,06/03/2011,06-Mar-11,17,4,Bahati,Mnyambe,Newala,Mtwara
Mtwara,Newala,Mnyambe,Bahati,Shinje Ngalula,05/07/2014,05-Jul-14,8,20,Bahati,Mnyambe,Newala,Mtwara
Morogoro,Morogoro rural,Bungu,Balani,Godfrey Msele,04/11/2016,04-Nov-16,30,0,Balani,Bungu,Morogoro,Morogoro
Morogoro,Morogoro,Bungu,Bungu,Lustika adam,24/02/2013,24-Feb-13,9,0,Balani,Bungu,Morogoro,Morogoro
Morogoro,Morogoro Rural,Bungu,Balani,E. Solomoni,17/12/2014,17-Dec-14,19,2,Balani,Bungu,Morogoro,Morogoro
Pwani,Kibaha urban,Kongowe,Bamba,NA,06/12/2016,06-Dec-16,44,6,Bamba,Kongowe,Kibaha Urban,Pwani
Pwani,Kibaha urban,Kongowe,Bamba,V. Mgaya ,21/11/2013,21-Nov-13,40,3,Bamba,Kongowe,Kibaha Urban,Pwani
Pwani,Kibaha urban,Kongowe,Bamba,Amandus Msimbe,22/06/2012,22-Jun-12,31,0,Bamba,Kongowe,Kibaha Urban,Pwani
Cost,Kibaha urban,Kongowe,Bamba,Philip Bwire,26/02/2011,26-Feb-11,17,1,Bamba,Kongowe,Kibaha Urban,Pwani
Pwani,Kibaha Urban,Kongowe,Bamba,L.Bura,16/12/2014,16-Dec-14,40,0,Bamba,Kongowe,Kibaha Urban,Pwani
Morogoro,Morogoro rural,Kiroka,Bamba,Victor Lyawere,04/11/2016,04-Nov-16,5,2,Bamba,Kiroka,Morogoro,Morogoro
Morogoro,Morogoro,Kiroka,Bamba,Lucton mkuya,24/02/2013,24-Feb-13,2,0,Bamba,Kiroka,Morogoro,Morogoro
Morogoro,Morogoro Rural,Kiroka ,Bamba,Victor L,19/12/2014,19-Dec-14,0,0,Bamba,Kiroka,Morogoro,Morogoro
Dar Es Salaam,Temeke,Somangila,Bamba,Bayona j,12/12/2016,12-Dec-16,6,1,Bamba,Somangila,Temeke,Dar-es-salaam
Dar Es Salaam,Temeke,Somangila,Bamba,Hussein Mhoma,23/09/2011,23-Sep-11,0,0,Bamba,Somangila,Temeke,Dar-es-salaam
Morogoro,Morogoro urban,Mbuyuni,Bambalawe,NA,12/11/2016,12-Nov-16,11,3,Bambalawe,Mbuyuni,Morogoro Urban,Morogoro
Kusini Pemba,Chakechake,Kilindi,Muweza,NA,10/12/2014,10-Dec-14,9,3,Banani,Kilindi,Chake Chake,Pemba
Kaskazini Pemba,Micheweni,Finya,Bahrani,NA,15/11/2013,15-Nov-13,11,2,Banda Maji,Finya,Micheweni,Pemba
Kaskazini Pemba,Micheweni,Finya,Banda maji,NA,16/12/2014,16-Dec-14,10,0,Banda Maji,Finya,Micheweni,Pemba
Kaskazini Pemba,Micheweni,Finya,Kibandamaji,NA,15/11/2013,15-Nov-13,4,5,Bandamaji,Finya,Micheweni,Pemba
mtwara,Tandahimba,Mihenjele,Bondeni,Amina A .Majula,26/06/2012,26-Jun-12,2,18,Bandari,Mihenjele,Tandahimba,Mtwara
Mtwara,Tandahimba,Michenjele,Bandari,Abdallah Mangwamba,25/06/2014,25-Jun-14,5,0,Bandari,Michenjele,Tandahimba,Mtwara
Dar-es-salaam,Ilala,Pugu,Bangulo,Abdallah Juma,18/06/2015,18-Jun-15,66,9,Bangulo,Pugu,Ilala,Dar-es-salaam
Dar-es-salaam,Ilala,Pugu,Bangulo,L tarimo,11/04/2013,11-Apr-13,125,0,Bangulo,Pugu,Ilala,Dar-es-salaam
Dar Es Salaam,Temeke,Kilakala,Reli na kilakala, bwai v,12/12/2016,12-Dec-16,23,4,Barabara ya Mwinyi,Kilakala,Temeke,Dar-es-salaam
Dar-es-salaam,Temeke,Kiburugwa,Barabara ya Mwinyi,Avelini Ngowi,25/02/2015,25-Feb-15,22,2,Barabara ya Mwinyi,Kiburugwa,Temeke,Dar-es-salaam
Dar-es-salaam,Temeke,Kilakala,Barabara ya Mwinyi,Charles Kahembe,25/02/2015,31-Jan-15,42,6,Barabara ya Mwinyi,Kilakala,Temeke,Dar-es-salaam
Dar-es-salaam,Temeke,Kiburugwa,Kiburugwa,S Gombo,10/03/2013,10-Mar-13,9,3,Barabara ya Mwinyi,Kiburugwa,Temeke,Dar-es-salaam
Lindi,Liwale,Barikiwa,Barikiwa,NA,25/11/2016,25-Nov-16,12,1,Barikiwa,Barikiwa,Liwale,Lindi
Lindi,Liwale,Barikiwa,Barikiwa,Simon Seja,16/09/2015,16-Sep-15,7,0,Barikiwa,Barikiwa,Liwale,Lindi
Lindi,Liwale , Barikiwa  ,Barikiwa ,NA,27/06/2012,27-Jun-12,17,12,Barikiwa,Barikiwa,Liwale,Lindi
Lindi,Liwale, Barikiwa  , Barikiwa ,NA,03/02/2011,03-Feb-11,12,1,Barikiwa,Barikiwa,Liwale,Lindi
Lindi,Liwale,Barikiwa  ,Barikiwa,S. KANGUNGU,01/07/2014,01-Jul-14,18,3,Barikiwa,Barikiwa  ,Liwale,Lindi
Dar Es Salaam,Kinondoni,Kimara,Baruti,"Mary Fumbwani, Charles Msenga, Mercy Ndabise, Morice Mbega, Goodluck Swai ",24/11/2016,24-Nov-16,73,2,Baruti,Kimara,Kinondoni,Dar-es-salaam
Dar es Salaam,Kinondoni,Kimara,Baruti,Marenga,21/09/2011,21-Sep-11,3100,4,Baruti,Kimara,Kinondoni,Dar-es-salaam
Dar-es-salaam,Kinondoni,KIMARA,BARUTI,"Ramadhani Sembeyu, Rose Mayiku",20/12/2014,20-Dec-14,20,0,Baruti,Kimara,Kinondoni,Dar-es-salaam
Dar Es Salaam,Kinondoni,Bunju,Basihaya,"Fadhila Mgamba, HonorathaSetebe, Mercy Ndabise",23/11/2016,23-Nov-16,35,0,Basihaya,Bunju,Kinondoni,Dar-es-salaam
Dar-es-salaam,Kinondoni,BUNJU,BASIHAYA(Ofisi ya mtaa),"Eliatikiswa Nnko, Magdalena Bukuku",17/12/2014,17-Dec-14,17,0,Basihaya,Bunju,Kinondoni,Dar-es-salaam
Coast,Kisarawe,Msanga,Bembeza,Moshi / Hamumi,19/11/2016,19-Nov-16,17,5,Bembeza,Msanga,Kisarawe,Pwani
Pwani,Kisarawe,Msanga,Bembeza,"Nokolage, A",19/01/2015,19-Jan-15,33,3,Bembeza,Msanga,Kisarawe,Pwani
Pwani,Kisarawe,Msanga,Bembeza,NA,21/11/2013,21-Nov-13,52,0,Bembeza,Msanga,Kisarawe,Pwani
Pwani,Kisarawe,Msanga,Bembeza,Ali M. Nokolage,13/07/2012,13-Jul-12,14,1,Bembeza,Msanga,Kisarawe,Pwani
Pwani,Kisarawe,Msanga,Bembeza,Mesaki Lema,07/03/2011,07-Mar-11,14,3,Bembeza,Msanga,Kisarawe,Pwani
Mtwara,Masasi  ,Mtandi,Benako,Yasin Mwilula,11/11/2016,11-Nov-16,0,0,Benako,Mtandi,Masasi Township Authority,Mtwara
Mtwara,Masasi Urban,Mtandi,Benako, Lazaro Ndungile,10/09/2015,10-Sep-15,11,0,Benako,Mtandi,Masasi Township Authority,Mtwara
Lindi,Lindi urban,Msanjihili,Benki,NA,05/11/2016,05-Nov-16,6,3,Benki,Msinjahili,Lindi Urban,Lindi
Lindi,Lindi urban,Msanjihili,Benki,NA,09/09/2015,09-Sep-15,5,3,Benki,Msinjahili,Lindi Urban,Lindi
Lindi,Lindi Urban,Msanjihili,Benki,JAQUECLINE E. SANDY,27/06/2014,27-Jun-14,21,8,Benki,Msanjihili,Lindi Urban,Lindi
Mtwara,Mtwara urban,Majengo,Biafra,NA,08/11/2016,08-Nov-16,0,0,Biafra,Majengo,Mtwara Urban,Mtwara
Mtwara,Mtwara urban,Majengo,Biafra,NA,09/10/2015,09-Oct-15,0,0,Biafra,Majengo,Mtwara Urban,Mtwara
Coast,Mkuranga,Mwarusembe,Bigwa,NA,01/12/2016,01-Dec-16,14,0,Bigwa,Mwalusembe,Mkuranga,Pwani
Pwani,Mkuranga,NA,Bigwa,NA,30/01/2015,30-Dec-14,13,4,Bigwa,Mwalusembe,Mkuranga,Pwani
Pwani,Mkuranga,Mwalusembe,Bigwa,Violeth shau,14/11/2013,14-Nov-13,18,0,Bigwa,Mwalusembe,Mkuranga,Pwani
Pwani,Mkuranga,Mwalusembe,Bigwa,Benjamin njiku,19/06/2012,19-Jun-12,16,3,Bigwa,Mwalusembe,Mkuranga,Pwani
Pwani,Mkuranga,Mwalusembe,Bigwa,Benjamin Njiku,20/03/2011,20-Mar-11,20,2,Bigwa,Mwalusembe,Mkuranga,Pwani
Morogoro,Morogoro urban,Bigwa,Bigwa barabarani,NA,05/11/2016,05-Nov-16,134,15,Bigwa barabarani,Bigwa,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Bigwa,Bigwa,Grace,09/02/2013,09-Feb-13,285,41,Bigwa barabarani,Bigwa,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Bigwa,Bigwa,Grace,02/02/2013,02-Feb-13,212,16,Bigwa barabarani,Bigwa,Morogoro Urban,Morogoro
Morogoro,Morogoro Urban,BIGWA,FDC,Osma Marijani,21/12/2014,21-Dec-14,45,31,Bigwa barabarani,Bigwa,Morogoro Urban,Morogoro
Morogoro,Morogoro Urban,BIGWA,Ofisi ya Kata, H. Mangi ,21/12/2014,21-Dec-14,231,46,Bigwa barabarani,Bigwa,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kilakala,Bigwa Kisiwani,NA,06/11/2016,06-Nov-16,23,5,Bigwa Kisiwani,Kilakala,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kilakala,Bigwa Sokoni,NA,06/11/2016,06-Nov-16,37,22,Bigwa Sokoni,Kilakala,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Mazimbu,Bima,NA,07/11/2016,07-Nov-16,41,3,Bima,Mazimbu,Morogoro Urban,Morogoro
Morogoro,Morogoro Urban,KIHONDA MAGHOROFANI,Bima,Masija Mgini,21/12/2014,21-Dec-14,80,15,Bima,Mazimbu,Morogoro Urban,Morogoro
Coast,Mkuranga,Dondo,Binga,NA,02/12/2016,02-Dec-16,11,0,Binga,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Binga lukemo,Godfrey mushi,19/11/2013,19-Nov-13,16,2,Binga,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Binga,Yahya Chomboko,14/06/2012,14-Jun-12,7,1,Binga,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Binga,Moshi Liakile,22/03/2011,22-Mar-11,1,0,Binga,Kisiju,Mkuranga,Pwani
Pwani,Mkuranga,Kisiju,Binga,Nkongo M.L,21/03/2011,21-Mar-11,12,0,Binga,Kisiju,Mkuranga,Pwani
Morogoro,Ulanga,Biro,Biro,NA,10/12/2016,10-Dec-16,325,21,Biro,Biro,Ulanga,Morogoro
Morogoro,Ulanga,Biro,Biro,Kagosi,13/03/2013,13-Mar-13,236,47,Biro,Biro,Ulanga,Morogoro
Morogoro,Ulanga,Biro  ,Biro ,NA,06/10/2011,06-Oct-11,190,9,Biro,Biro,Ulanga,Morogoro
Morogoro,Ulanga,Biro  ,Biro ,NA,12/05/2010,12-May-10,0,0,Biro,Biro,Ulanga,Morogoro
Morogoro,Ulanga,BIRO,Biro,Kapilima,13/12/2014,13-Dec-14,116,6,Biro,Biro,Ulanga,Morogoro
Kaskazini Pemba,Wete,Jadida,Block 2,NA,08/12/2014,08-Dec-14,4,0,Block 2,Jadida,Wete,Pemba
Coast,Kisarawe,Manerumango,Boga,Karume Chausa,17/11/2016,17-Nov-16,30,2,Boga,Maneromango,Kisarawe,Pwani
Pwani,Kisarawe,Mwanakumango,Boga,"Mwende, E.K",15/01/2015,15-Jan-15,17,2,Boga,Maneromango,Kisarawe,Pwani
Pwani,Kisarawe,Maneromango,Boga,NA,21/11/2013,21-Nov-13,47,4,Boga,Maneromango,Kisarawe,Pwani
Pwani,Kisarawe,Maneromango,Boga,E. K. Mwende,13/07/2012,13-Jul-12,19,3,Boga,Maneromango,Kisarawe,Pwani
Pwani,Kisarawe,Maneromango,Boga,Kassim Nyoni,06/03/2011,06-Mar-11,45,4,Boga,Maneromango,Kisarawe,Pwani
Morogoro,Morogoro urban,Bigwa,Bohomera,NA,05/11/2016,05-Nov-16,49,3,Bohomera,Bigwa,Morogoro Urban,Morogoro
Dar Es Salaam,Kinondoni,Bunju,Boko ,"Fadhila Mgamba, HonorathaSetebe, Mercy Ndabise",22/11/2016,22-Nov-16,15,0,Boko,Bunju,Kinondoni,Dar-es-salaam
Dar-es-salaam,Kinondoni,BUNJU,BOKO (Ofisi ya mtaa Boko),"Albina James, Rhoda Mruttu",17/12/2014,17-Dec-14,52,0,Boko,Bunju,Kinondoni,Dar-es-salaam
Coast,Kibaha rural,Bokomnemela,Njia Panda,Emanueli Gimbi,22/11/2016,22-Nov-16,58,2,Bokomnemela,Bokomnemela,Kibaha,Pwani
Coast,Kibaha rural,Bokomnemela,Mkomnemela,Emanueli Gimbi,20/11/2016,20-Nov-16,54,12,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha rural,Bokomnemela,Boko mnemela,George E Sulusi,04/12/2013,04-Dec-13,74,11,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha rural,Bokomnemela,Bokomnemela,Francis ekoni,21/02/2012,21-Feb-12,92,23,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha rural,Bokomnemela,Bokomnemela,George E Sulusi,15/02/2012,15-Feb-12,14,3,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha rural,Bokomnemela,Bokomnemela,George E Sulusi,15/02/2012,15-Feb-12,14,5,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha rural,Bokomnemela,Bokomnemela,George E Sulusi,15/02/2012,15-Feb-12,15,2,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha rural,Soga,Bokomnemela,G. Mwaka,19/02/2011,19-Feb-11,47,2,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha Rural,Bokomnemela,Bokomnemela,NA,09/12/2014,09-Dec-14,68,9,Bokomnemela,Bokomnemela,Kibaha,Pwani
Pwani,Kibaha urban,Tumbi,Bokotemboni,NA,09/12/2016,09-Dec-16,100,20,Bokotemboni,Tumbi,Kibaha Urban,Pwani
Pwani,Kibaha urban,Tumbi  ,Boko temboni , K. Mwanga ,23/11/2013,23-Nov-13,54,7,Bokotemboni,Tumbi,Kibaha Urban,Pwani
Cost,Kibaha urban,Tumbi,Chang'ombe,Magdalena ngodoki,17/02/2011,17-Mar-11,9,7,Bokotemboni,Tumbi,Kibaha Urban,Pwani
Pwani,Kibaha Urban,Tumbi,Boko Temboni,S.Mlaki,19/12/2014,19-Dec-14,55,3,Bokotemboni,Tumbi,Kibaha Urban,Pwani
Pwani,Kibaha urban,Tumbi,Bokotimiza,NA,09/12/2016,09-Dec-16,35,8,Bokotimiza,Tumbi,Kibaha Urban,Pwani
Pwani,Kibaha urban,Tumbi,Bokotimiza,E. Mahui,23/11/2013,23-Nov-13,32,2,Bokotimiza,Tumbi,Kibaha Urban,Pwani
Pwani,Kibaha urban,Tumbi,Bokotimiza,Charles Fransis,24/06/2012,24-Jun-12,19,0,Bokotimiza,Tumbi,Kibaha Urban,Pwani
Cost,Kibaha urban,Tumbi,Bokotimiza,Edna Kapambo,27/02/2011,27-Feb-11,52,1,Bokotimiza,Tumbi,Kibaha Urban,Pwani
Pwani,Kibaha Urban,Tumbi,Boko Timiza,L.Bura,19/12/2014,19-Dec-14,39,3,Bokotimiza,Tumbi,Kibaha Urban,Pwani
Morogoro,Morogoro urban,Mji Mkuu,Boma,NA,12/11/2016,12-Nov-16,27,12,Boma,Mji Mkuu,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Mazimbu,Boma,NA,07/11/2016,07-Nov-16,68,10,Boma,Mazimbu,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Mji Mkuu,Boma,Grace,11/02/2013,11-Feb-13,250,37,Boma,Mji Mkuu,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Mazimbu,Boma,Grace,02/02/2013,02-Feb-13,200,21,Boma,Mazimbu,Morogoro Urban,Morogoro
Mtwara,Mtwara urban,Magengeni,Bomani,NA,30/11/2016,31-Oct-16,0,0,Boma,Magengeni,Mtwara Urban,Mtwara
Lindi,Nachingwea,Boma,Boma,NA,05/11/2016,05-Nov-16,25,2,Boma,Nambambo,Nachingwea,Lindi
Lindi,Nachingwea,Boma,Boma,NA,30/09/2015,31-Aug-15,60,6,Boma,Nambambo,Nachingwea,Lindi
Kusini Pemba,Mkoani,Kiwani,Bomani,Juma Ali Kombo,22/09/2016,22-Sep-16,2,0,Bomani,Kiwani,Mkoani,Pemba
Kusini Pemba,Mkoani,Kiwani,Bomani,NA,01/12/2014,01-Dec-14,5,0,Bomani,Kiwani,Mkoani,Pemba
Kusini Pemba,Mkoani,Mkungu,Bomani,NA,01/12/2014,01-Dec-14,1,0,Bomani,Mkungu,Mkoani,Pemba
Kaskazini Pemba,Wete,Selemu,Laini,NA,13/11/2013,13-Nov-13,3,0,Bomani,Selem,Wete,Pemba
Mtwara,Mtwara Urban,Magengeni,Bomani ,ABEDI MOHAMEDI,24/09/2014,24-Sep-14,2,2,Bomani ,Magengeni,Mtwara Urban,Mtwara
Mtwara,Mtwara urban,Magomeni,Bomba la Bure,NA,02/11/2016,02-Nov-16,0,0,Bomba la Bure,Ufukoni,Mtwara Urban,Mtwara
Mtwara,Mtwara urban,Magomeni,Bomba la Bure,NA,05/10/2015,05-Oct-15,8,0,Bomba la Bure,Ufukoni,Mtwara Urban,Mtwara
Mtwara,Mtwara Urban,Ufukoni,Bomba la Bure ,MOHAMED ALLY,09/09/2014,09-Sep-14,2,2,Bomba la Bure ,Ufukoni,Mtwara Urban,Mtwara
Morogoro,Morogoro urban,Kingolwira,Bomba la Zambia,NA,12/11/2016,12-Nov-16,46,3,Bomba la Zambia,Kingolwira,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kingolwira,Kingolwira,Grace,21/02/2013,21-Feb-13,286,32,Bomba la Zambia,Kingolwira,Morogoro Urban,Morogoro
Morogoro,Morogoro urban,Kingolwira,Kingolwira,Grace,09/02/2013,09-Feb-13,175,32,Bomba la Zambia,Kingolwira,Morogoro Urban,Morogoro
Dar-es-salaam,Ilala,Pugu,Bombani,L tarimo,09/04/2013,09-Apr-13,103,0,Bombani,Pugu,Ilala,Dar-es-salaam
Dar Es Salaam,Kinondoni,Msasani,Bonde la mpunga,"Mary Fumbwani, Mariam Kiponza, Allan Thomas",22/11/2016,22-Nov-16,4,0,Bonde la Mpunga,Msasani,Kinondoni,Dar-es-salaam
Dar-es-salaam,Kinondoni,MSASANI,BONDE LA MPUNGA,"Eliatikiswa Nnko, Magdalena Bukuku",19/12/2014,19-Dec-14,41,0,Bonde la Mpunga,Msasani,Kinondoni,Dar-es-salaam
