Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Mtwara,Tandahimba,Luagala,Luagala,Minja E.L.,27/06/2011,27-Jun-11,13,10,Luagala,Luagala,Tandahimba,Mtwara
Mtwara,Tandahimba,Luagala,Luagala,Hamis Tengeneza,24/06/2014,24-Jun-14,15,3,Luagala,Luagala,Tandahimba,Mtwara
Mtwara,Masasi rural,Sindano,Luatala,Hasani Juma,09/09/2015,09-Sep-15,26,9,Luatala,Sindano,Masasi,Mtwara
Mtwara,Masasi,Sindano,Luatala,James Mhando,21/06/2014,21-Jun-14,19,11,Luatala,Sindano,Masasi,Mtwara
Lindi,Liwale,Makata,Lubaba,NA,28/11/2016,28-Nov-16,4,2,Lubaba,Makata,Liwale,Lindi
Lindi,Liwale,Makata,Lubaba,Frank Mbawala,15/09/2015,15-Sep-15,5,0,Lubaba,Makata,Liwale,Lindi
Lindi,Liwale,Makata  ,Lubaba,F.MBAWALA,03/07/2014,03-Jul-14,10,0,Lubaba,Makata  ,Liwale,Lindi
Mtwara,Tandahimba,Chikongola,Lubangala,Sizya Lugembe,01/11/2016,01-Nov-16,3,4,Lubangala,Chikongola,Tandahimba,Mtwara
Mtwara,Tandahimba,Chikongola,Lubangala,Asia A. Mnunduma,20/08/2015,20-Aug-15,2,1,Lubangala,Chikongola,Tandahimba,Mtwara
Morogoro,Morogoro rural,Kolero,Lubasazi,Muslim,04/11/2016,04-Nov-16,37,1,Lubasazi,Kolero,Morogoro,Morogoro
Morogoro,Morogoro,Kolero,Lubasazi,Protus mtumbuka,24/02/2013,24-Feb-13,7,0,Lubasazi,Kolero,Morogoro,Morogoro
Morogoro,Morogoro Rural,Kolero,Lubasazi,A. Y. Achiula,19/12/2014,19-Dec-14,10,0,Lubasazi,Kolero,Morogoro,Morogoro
Mtwara,Newala,Namiyonga,Lubido,Devotha Mushi,02/07/2014,02-Jul-14,0,2,Lubido,Namiyonga,Newala,Mtwara
Morogoro,Morogoro rural,Kidugalo,Lubumu,Masanja K,04/11/2016,04-Nov-16,21,0,Lubumu,Kidugalo,Morogoro,Morogoro
Morogoro,Morogoro Rural,Kidugalo,Lubumu,Edwin Edson,19/12/2014,19-Dec-14,47,3,Lubumu,Kidugalo,Morogoro,Morogoro
Morogoro,Morogoro rural,Mikese,Lubungo 'A',Richard K.,03/11/2016,03-Nov-16,39,0,Lubungo,Mikese,Morogoro,Morogoro
Morogoro,Morogoro,Mikese,Lubungo,Chonge mbwambo,24/02/2013,24-Feb-13,18,0,Lubungo,Mikese,Morogoro,Morogoro
Morogoro,Morogoro,Mikese,Lubungo,Kasim ramadhani,03/02/2013,03-Mar-13,12,3,Lubungo,Mikese,Morogoro,Morogoro
Morogoro,Morogoro Rural,Mikese,Lubungo,Richard K.,21/12/2014,21-Dec-14,0,0,Lubungo,Mikese,Morogoro,Morogoro
Lindi,Ruangwa,Luchelegwa,Luchelegwa,NA,13/11/2016,13-Nov-16,22,2,Luchelegwa,Luchelegwa,Ruangwa,Lindi
Lindi,Ruangwa,Luchelegwa,Luchelegwa,Dokta Muna,12/09/2015,12-Sep-15,20,10,Luchelegwa,Luchelegwa,Ruangwa,Lindi
Lindi,Ruangwa, Luchelegwa  , Luchelegwa ,NA,24/06/2012,24-Jun-12,19,11,Luchelegwa,Luchelegwa,Ruangwa,Lindi
Lindi,Ruangwa, Luchelegwa  , Luchelegwa ,NA,14/02/2011,14-Feb-11,15,3,Luchelegwa,Luchelegwa,Ruangwa,Lindi
