,District,Region,population_both,population_F,population_M,area_km2,AnnualGrowthrate,HumanPop2011_proj,HumanPop2012,HumanPop2013_proj,HumanPop2014_proj,HumanPop2015_proj,HumanPop2016_proj
63,Kongwa,Dodoma,309973,160752,149221,4002.403662,NA,NA,NA,NA,NA,NA,NA
64,Korogwe,Tanga,242038,123494,118544,3226.764478,NA,NA,NA,NA,NA,NA,NA
65,Korogwe Township Authority,Tanga,68308,35187,33121,227.15477,NA,NA,NA,NA,NA,NA,NA
66,Kusini,Kusini Unguja,39242,19900,19342,384.115718,NA,NA,NA,NA,NA,NA,NA
67,Kwimba,Mwanza,397223,203590,193633,3263.555896,NA,NA,NA,NA,NA,NA,NA
68,Kyela,Mbeya,221490,115478,106012,777.066406,NA,NA,NA,NA,NA,NA,NA
69,Kyerwa,Kagera,321026,163828,157198,2507.405122,NA,NA,NA,NA,NA,NA,NA
70,Lindi Rural,Lindi,194143,102496,91647,6160.804398,-1,196104,194143,192202,190280,188377,186493
71,Lindi Urban,Lindi,78841,41316,37525,1096.421562,6.5,74029,78841,83966,89423,95236,101426
72,Liwale,Lindi,91380,47353,44027,35239.09359,2,89588,91380,93208,95072,96973,98913
73,Longido,Arusha,123153,62954,60199,8082.311761,NA,NA,NA,NA,NA,NA,NA
74,Ludewa,Njombe,133218,69776,63442,6137.073447,NA,NA,NA,NA,NA,NA,NA
75,Lushoto,Tanga,492441,262205,230236,4117.41977,NA,NA,NA,NA,NA,NA,NA
76,Mafia,Pwani,46438,23484,22954,654.86199,1.4,45797,46438,47088,47747,48416,49094
77,Mafinga Township Authority,Iringa,51902,26777,25125,584.821136,NA,NA,NA,NA,NA,NA,NA
78,Magharibi,Mjini Magharibi,370645,193666,176979,220.289462,NA,NA,NA,NA,NA,NA,NA
79,Magu,Mwanza,306193,156923,149270,1520.419036,NA,NA,NA,NA,NA,NA,NA
80,Makambako Township Authority,Njombe,93827,49796,44031,904.997984,NA,NA,NA,NA,NA,NA,NA
81,Makete,Njombe,97266,51966,45300,4101.120047,NA,NA,NA,NA,NA,NA,NA
82,Manyoni,Singida,296763,150733,146030,29298.97586,NA,NA,NA,NA,NA,NA,NA
83,Masasi,Mtwara,247993,129017,118976,4150.097514,1.2,245052,247993,250969,253981,257028,260113
84,Masasi Township Authority,Mtwara,102696,53585,49111,780.228042,1.5,101178,102696,104236,105800,107387,108998
85,Maswa,Simiyu,362117,186209,175908,3678.620048,NA,NA,NA,NA,NA,NA,NA
86,Mbarali,Mbeya,300517,154650,145867,14744.03399,NA,NA,NA,NA,NA,NA,NA
87,Mbeya Rural,Mbeya,305319,161540,143779,2881.99365,NA,NA,NA,NA,NA,NA,NA
88,Mbeya Urban,Mbeya,385279,202659,182620,258.696693,NA,NA,NA,NA,NA,NA,NA
89,Mbinga,Ruvuma,353683,181281,172402,5014.154245,NA,NA,NA,NA,NA,NA,NA
90,Mbogwe,Geita,193922,98839,95083,2289.269266,NA,NA,NA,NA,NA,NA,NA
91,Mbozi,Mbeya,446339,233122,213217,3952.84583,NA,NA,NA,NA,NA,NA,NA
92,Mbulu,Manyara,320279,158731,161548,3817.632821,NA,NA,NA,NA,NA,NA,NA
93,Meatu,Simiyu,309820,161506,148314,9051.044744,NA,NA,NA,NA,NA,NA,NA
94,Meru,Arusha,268144,136880,131264,1270.223026,NA,NA,NA,NA,NA,NA,NA
95,Missenyi,Kagera,202632,102547,100085,2825.993296,NA,NA,NA,NA,NA,NA,NA
96,Misungwi,Mwanza,359920,181777,178143,2586.12922,NA,NA,NA,NA,NA,NA,NA
97,Mjini,Mjini Magharibi,223033,116422,106611,15.635796,NA,NA,NA,NA,NA,NA,NA
98,Mkalama,Singida,188733,95199,93534,3137.60519,NA,NA,NA,NA,NA,NA,NA
99,Mkinga,Tanga,118065,60305,57760,2730.536078,NA,NA,NA,NA,NA,NA,NA
100,Mkuranga,Pwani,216397,111271,105126,2873.10225,1.8,218979,222921,226934,231018,235177,239410
101,Mlele,Katavi,282568,142588,139980,30026.22838,NA,NA,NA,NA,NA,NA,NA
102,Momba,Mbeya,196818,102561,94257,4821.540386,NA,NA,NA,NA,NA,NA,NA
103,Monduli,Arusha,158929,83314,75615,7006.152946,NA,NA,NA,NA,NA,NA,NA
104,Morogoro,Morogoro,286248,145424,140824,12655.83031,0.8,283976,286248,288538,290846,293173,295518
105,Morogoro Urban,Morogoro,315866,164166,151700,292.396515,3.3,305775,315866,326290,337057,348180,359670
106,Moshi,Kilimanjaro,466737,240970,225767,1350.505055,NA,NA,NA,NA,NA,NA,NA
107,Moshi Municipal,Kilimanjaro,184292,95118,89174,63.60691,NA,NA,NA,NA,NA,NA,NA
108,Mpanda Rural,Katavi,179136,89871,89265,17125.19086,NA,NA,NA,NA,NA,NA,NA
109,Mpanda Urban,Katavi,102900,52463,50437,322.431874,NA,NA,NA,NA,NA,NA,NA
110,Mpwapwa,Dodoma,305056,157750,147306,7559.469904,NA,NA,NA,NA,NA,NA,NA
111,Mtwara Rural,Mtwara,238166,125380,112786,3817.695159,1.1,225522,228003,230511,233047,235610,238202
112,Mtwara Urban,Mtwara,117211,61971,55240,175.489097,1.6,106594,108299,110032,111792,113581,115398
113,Mufindi,Iringa,270280,142254,128026,7681.666244,NA,NA,NA,NA,NA,NA,NA
114,Muheza,Tanga,204461,103618,100843,1510.164757,NA,NA,NA,NA,NA,NA,NA
115,Muleba,Kagera,540310,272452,267858,3506.436854,NA,NA,NA,NA,NA,NA,NA
116,Musoma,Mara,178356,91032,87324,1071.091459,NA,NA,NA,NA,NA,NA,NA
117,Musoma Municipal,Mara,134327,71633,62694,64.881724,NA,NA,NA,NA,NA,NA,NA
118,Mvomero,Morogoro,312109,157266,154843,6717.999952,1.9,306289,312109,318039,324082,330239,336514
119,Mwanga,Kilimanjaro,131442,68243,63199,1975.749621,NA,NA,NA,NA,NA,NA,NA
120,Nachingwea,Lindi,178464,92082,86382,6173.192237,1,176697,178464,180249,182051,183872,185710
121,Namtumbo,Ruvuma,201639,103304,98335,22530.16437,NA,NA,NA,NA,NA,NA,NA
122,Nanyumbu,Mtwara,138146,71970,66176,5399.834149,1.4,148774,150857,152969,155111,157282,159484
123,Newala,Mtwara,199765,107464,92301,2022.196566,1.1,203256,205492,207752,210038,212348,214684
124,Ngara,Kagera,320056,167613,152443,3312.085441,NA,NA,NA,NA,NA,NA,NA
125,Ngorongoro,Arusha,183472,96804,86668,15944.43434,1.030252,169161,174278,179550,184982,190578,196344
126,Njombe Rural,Njombe,85747,45700,40047,3544.800775,NA,NA,NA,NA,NA,NA,NA
127,Njombe Urban,Njombe,130223,69111,61112,3634.772024,NA,NA,NA,NA,NA,NA,NA
128,Nkasi,Rukwa,281200,144159,137041,9996.109597,NA,NA,NA,NA,NA,NA,NA
129,Nyamagana,Mwanza,355988,181902,174086,183.095986,NA,NA,NA,NA,NA,NA,NA
130,Nyang'hwale,Geita,155435,78698,76737,1611.419537,NA,NA,NA,NA,NA,NA,NA
131,Nyasa,Ruvuma,146160,74768,71392,3182.789151,NA,NA,NA,NA,NA,NA,NA
132,Nzega,Tabora,494329,253041,241288,7910.427963,NA,NA,NA,NA,NA,NA,NA
133,Pangani,Tanga,54025,27155,26870,1779.967092,NA,NA,NA,NA,NA,NA,NA
134,Pemba,Pemba,406848,209755,197093,1009.398499,1.012085,401990,406848,411765,416741,421777,426874
135,Rombo,Kilimanjaro,260963,136435,124528,1474.500945,NA,NA,NA,NA,NA,NA,NA
136,Rorya,Mara,265241,138994,126247,2002.900928,NA,NA,NA,NA,NA,NA,NA
137,Ruangwa,Lindi,137610,71081,66529,2594.112268,0.6,130298,131080,131866,132658,133454,134254
138,Rufiji,Pwani,223798,116049,107749,12993.74246,0.7,215764,217274,218795,220326,221869,223422
139,Rungwe,Mbeya,339157,177908,161249,2211.671107,NA,NA,NA,NA,NA,NA,NA
140,Same,Kilimanjaro,269807,138292,131515,6254.125442,NA,NA,NA,NA,NA,NA,NA
141,Sengerema,Mwanza,665037,333785,331252,3159.470032,NA,NA,NA,NA,NA,NA,NA
142,Serengeti,Mara,249420,128021,121399,11170.79364,1.035447,240882,249420,258261,267416,276895,286710
143,Shinyanga Rural,Shinyanga,334417,171461,162956,3582.915177,NA,NA,NA,NA,NA,NA,NA
144,Shinyanga Urban,Shinyanga,161391,82736,78655,556.89197,NA,NA,NA,NA,NA,NA,NA
145,Siha,Kilimanjaro,116313,59813,56500,1220.263571,NA,NA,NA,NA,NA,NA,NA
146,Sikonge,Tabora,189431,95838,93593,26573.05759,NA,NA,NA,NA,NA,NA,NA
147,Simanjiro,Manyara,178693,89718,88975,19930.73177,NA,NA,NA,NA,NA,NA,NA
148,Singida,Singida,225521,113749,111772,2416.219529,NA,NA,NA,NA,NA,NA,NA
149,Singida Urban,Singida,150788,77137,73651,725.676274,NA,NA,NA,NA,NA,NA,NA
150,Songea Rural,Ruvuma,173821,87273,86548,14519.4044,NA,NA,NA,NA,NA,NA,NA
151,Songea Urban,Ruvuma,203309,106962,96347,598.614565,NA,NA,NA,NA,NA,NA,NA
152,Sumbawanga Rural,Rukwa,305846,156784,149062,5257.438945,NA,NA,NA,NA,NA,NA,NA
153,Sumbawanga Urban,Rukwa,209793,109059,100734,1400.667538,NA,NA,NA,NA,NA,NA,NA
154,Tabora Urban,Tabora,243084,124105,118979,1471.897221,NA,NA,NA,NA,NA,NA,NA
155,Tandahimba,Mtwara,226877,121819,105058,2121.346931,1.1,225039,227514,230017,232547,235105,237691
156,Tanga,Tanga,273332,142412,130920,601.247153,NA,NA,NA,NA,NA,NA,NA
157,Tarime,Mara,339693,176707,162986,1535.374073,NA,NA,NA,NA,NA,NA,NA
158,Temeke,Dar-es-salaam,1368881,699825,669056,739.544604,5.8,1293838,1368881,1448276,1532276,1621148,1715175
159,Tunduma,Mbeya,97562,50708,46854,89.795667,NA,NA,NA,NA,NA,NA,NA
160,Tunduru,Ruvuma,298279,154619,143660,19099.65858,NA,NA,NA,NA,NA,NA,NA
161,Ukerewe,Mwanza,345147,175868,169279,628.870556,NA,NA,NA,NA,NA,NA,NA
162,Ulanga,Morogoro,265203,133641,131562,24054.35753,3.2,256980,265203,273689,282448,291486,300813
163,Urambo,Tabora,193415,97018,96397,5461.763685,NA,NA,NA,NA,NA,NA,NA
164,Uvinza,Kigoma,383640,194510,189130,10148.55681,NA,NA,NA,NA,NA,NA,NA
165,Uyui,Tabora,396623,200177,196446,12062.13533,NA,NA,NA,NA,NA,NA,NA
166,Wanging'ombe,Njombe,161816,86389,75427,3523.7244,NA,NA,NA,NA,NA,NA,NA
